user_id	impression_time	article_ids_inview
U1255547	05/20/2023 03:30:06 PM	"N9773488 N9773488 N9773341 N9767566 N9773412 N9772284 N9761859 N9772557 N9514481 N9772000
 N9773378 N9771113 N9773364 N9773434 N9772601 N9772862 N9773493"
U1882437	05/21/2023 07:55:33 AM	N9767233 N9767233 N9740324 N9773078 N9773943 N9774376
U1887306	05/21/2023 07:22:09 AM	N9768043 N9768043 N9773985 N9774392 N9774363 N9774352
U1887306	05/21/2023 07:23:58 AM	"N9773350 N9773350 N9770028 N9768043 N9532638 N9772545 N9773887 N9774363 N9773985 N9774392
 N9774352 N9774142"
U1887792	05/21/2023 07:26:31 AM	N9774363 N9774363 N9774352 N9774392 N9773985 N9768043 N9774376
U2226651	05/23/2023 03:04:14 PM	N9747329 N9747329 N9777308 N9135506 N9777385 N9776292 N9777406 N9776449
U2385834	05/20/2023 11:34:46 AM	"N9772557 N9772557 N9773307 N9756785 N9773282 N9772475 N9773335 N9773295 N9772629 N9769504
 N9773296"
U2385834	05/20/2023 11:45:14 AM	"N9772475 N9772475 N9753689 N9767909 N9766016 N9746360 N9773335 N9773351 N9769624 N9772557
 N9769306 N9772300 N9773297 N9647885 N9695098 N9773307 N9773376 N9770369 N9771919
 N9672676 N9773356 N9773282 N9767697 N9773295"
U2385834	05/20/2023 11:38:59 AM	"N9773296 N9773296 N9771919 N9767697 N9769624 N9773412 N9772629 N9773282 N9770369 N9753689
 N9769306 N9772601"
U2385834	05/20/2023 11:38:43 AM	N9773378 N9773378 N9773341 N9773316 N9772862 N9773434
U2385834	05/20/2023 11:46:11 AM	"N9494434 N9494434 N9773306 N9465810 N9761859 N9773290 N9773297 N9486486 N9771113 N9772557
 N9756785 N9772635 N9773292 N9142581 N9695098 N9769504 N9746360 N9773210"
U2385834	05/20/2023 11:39:32 AM	"N9772443 N9772443 N9773307 N9769306 N9766592 N9771919 N9770369 N9769341 N9771113 N9756785
 N9772284 N9767697 N9772475 N9769504"
U2385834	05/20/2023 11:38:52 AM	N9773356 N9773356 N9773412 N9772601 N9753689 N9773351 N9755712
U2385834	05/20/2023 11:45:33 AM	"N9773364 N9773364 N9494434 N9773461 N9465810 N9772862 N9773341 N9755712 N9773434 N9772300
 N9773356 N9773376 N9773351 N9142581 N9773378 N9486486 N9773447 N9753689 N9773488"
U2385834	05/20/2023 11:44:45 AM	"N9767909 N9767909 N9773488 N9773412 N9672676 N9773434 N9755712 N9766016 N9773378 N9773341
 N9773447 N9773461 N9772862 N9773364 N9772601 N9647885"
U2385834	05/20/2023 11:46:00 AM	N9494434 N9494434 N9769624 N9142581 N9486486 N9773296 N9465810
U2548347	05/18/2023 04:41:52 PM	N9771626 N9771626 N9767470 N9765759 N9771333 N9771235 N9771151
U1459379	05/23/2023 07:09:12 AM	N9776882 N9776882 N9776917 N9770604 N9775713 N9776851 N9655794
U2078799	05/24/2023 02:57:09 PM	N9779007 N9779007 N9779269 N9777182 N9779289 N9778945 N9779377 N9779408 N9779383 N9779204
U2091506	05/25/2023 06:58:46 AM	"N9766434 N9766434 N9779205 N9483850 N9780193 N9432542 N9779263 N9779577 N9780195 N9779713
 N9780181 N7184889 N9277736 N9779564 N9780271"
U2326725	05/25/2023 06:43:11 AM	"N7213923 N7213923 N9766434 N9779713 N9779564 N9780193 N9448302 N9547869 N9366571 N9780181
 N9779263"
U2326725	05/25/2023 06:43:53 AM	"N9779747 N9779747 N9737023 N9774297 N9776985 N9776916 N9778701 N9780019 N9776148 N9780020
 N9779956 N9776967 N9779797 N9773341 N9767697 N9778971 N9777769 N9717791 N9779860
 N9758734 N9779498 N9779417 N9779748 N9779648 N9778902 N9779867 N9779813 N9779150
 N9772548 N9779705 N9776046 N9779891 N9779723 N9779430 N9737243 N9779873 N9636554
 N9778155 N9778939 N9779777 N9777910 N9779996 N9779423 N9776691 N9777397 N9757574
 N9779427 N9776420 N9779968"
U2430325	05/25/2023 06:13:52 AM	"N9779577 N9779577 N9779263 N9779968 N9780195 N9780193 N9779713 N9766434 N9532638 N9780181
 N9779205"
U1874962	05/21/2023 01:07:33 PM	N9774626 N9774626 N9769581 N9774404 N9774532 N9757574 N9774708 N9774527
U1874962	05/21/2023 01:44:43 PM	"N9774527 N9774527 N9774403 N9774532 N9774015 N9770028 N9774618 N9769581 N9774706 N9772957
 N9757574 N9774626 N9774404"
U2099271	05/19/2023 03:14:46 PM	N9772557 N9772557 N9772575 N9391394 N9772751 N9772543 N9772632
U2099271	05/19/2023 03:15:25 PM	"N9770051 N9770051 N9772422 N9772363 N9772389 N9772263 N9771627 N9772443 N9772380 N9771113
 N9695098 N9753907 N9772284 N9772227 N9772029 N9771568 N9772291 N9772328 N9769306
 N9772344 N9772050 N9768308 N9772168 N9772407 N9772367 N9761859 N9391394 N9772279
 N9772297 N9772366 N9772256 N9772302 N9769341 N9746360 N9772433 N9772442"
U2099271	05/19/2023 03:16:15 PM	N9772178 N9772178 N9769306 N9772193 N9391394 N9770515
U2101786	05/19/2023 03:01:22 PM	N9772768 N9772768 N9749025 N9703841 N9772750 N9766772 N9701366
U2101786	05/19/2023 03:04:14 PM	N9772433 N9772433 N9772443 N9771627 N9771113 N9772442 N9772344 N9761859 N9772407 N9772380
U2101786	05/19/2023 03:02:47 PM	N9771253 N9771253 N9772099 N9769891 N9772750 N9772660 N9772768 N9769367 N9757344
U2101786	05/19/2023 03:04:38 PM	"N9772193 N9772193 N9753907 N9772227 N9772279 N9772363 N9772263 N9772302 N9772038 N9756546
 N9772284 N9772168 N9772115 N9770051 N9772291 N9772219 N9767481 N9769917 N9769341
 N9772092 N9747803 N9763188 N9770515 N9772750 N9772221 N9772256 N9772178"
U2101786	05/19/2023 03:03:51 PM	N9772380 N9772380 N9771627 N9772297 N9772029 N9772367 N9772517 N9772575 N9772557
U2140356	05/18/2023 07:49:20 PM	"N9771125 N9771125 N9771846 N9771124 N9440508 N9771869 N9770082 N9771779 N9771113 N9771758
 N9771796 N9771121 N9771691"
U2140356	05/18/2023 07:47:26 PM	"N9771691 N9771691 N9766231 N9771125 N9769424 N9770082 N9771779 N9771796 N9771124 N9771846
 N9771869"
U2150451	05/18/2023 07:56:12 PM	N9771796 N9771796 N9771779 N9771869 N9770328 N9771842 N9771125 N9771888 N9769424 N9771846
U2246162	05/24/2023 05:19:05 AM	N9778386 N9778386 N9778351 N9778448 N9778500 N9777856 N9778369
U2246162	05/24/2023 05:20:22 AM	N9778328 N9778328 N9778422 N9778302 N9777307 N9778413
U1879949	05/23/2023 08:27:18 PM	N9777307 N9777307 N9777582 N9777464 N9778139 N9761586
U1879949	05/23/2023 08:06:35 PM	"N9778310 N9778310 N9778262 N9776922 N9430567 N9778168 N9777941 N9778139 N9777582 N9778257
 N9778277 N9777464"
U2528780	05/22/2023 06:31:09 PM	"N9776099 N9776099 N9486486 N8054212 N9538375 N9769581 N9767490 N9775717 N9776303 N9776278
 N9773465 N9775939 N9775964 N9776152 N9772711"
U2528780	05/22/2023 06:28:34 PM	N9776394 N9776394 N9776190 N9775998 N9776322 N9486486 N9776332 N7306652 N9776234
U2528780	05/22/2023 06:30:53 PM	N9774574 N9774574 N9769581 N9773465 N8054212 N9486486 N9776238 N9776070 N9776191
U2528780	05/22/2023 06:32:10 PM	N9769624 N9769624 N9769684 N8054212 N9486486 N9769581 N9773465 N9767868
U1744285	05/19/2023 08:55:35 AM	"N9566461 N9566461 N9772050 N9770051 N9771113 N9772038 N9772178 N9771627 N9772092 N9772219
 N9772168 N9772115 N9772193 N9770515"
U1744285	05/19/2023 08:24:34 AM	N9772092 N9772092 N9772038 N9772115 N9772168 N9772193 N9772050 N9770515 N9772221
U1744285	05/19/2023 08:55:51 AM	"N9772045 N9772045 N9766721 N9772050 N9771113 N9761926 N9770292 N9771473 N9771855 N9771119
 N9772088 N9771916 N9772178 N9772026 N9769348 N9771938 N9772095 N9772047 N9771999
 N9772185 N9768308 N9771896 N9767481 N9771127 N9772032 N9769917 N9770051 N9769341
 N9767909 N9769559 N9771919 N9772104 N9771187 N9769474 N9772082 N9772000 N9769306
 N9732825 N9772219 N9769370 N9771948 N9771568 N9771787"
U1930942	05/19/2023 08:58:04 AM	"N9772219 N9772219 N9772050 N9769341 N9695098 N9758825 N9772038 N9772178 N9770051 N9769917
 N9771473 N9770515 N9772185 N9440508 N9771627 N9772168 N9772092 N9772115 N9772088
 N9772082 N9767481 N9772047 N9772193 N9772032 N9768860 N9772095 N9771113 N9772045
 N9770798 N9746360 N9772221"
U1955113	05/19/2023 08:48:25 AM	N9771568 N9771568 N9771686 N9407487 N9772104 N9417521 N9771473
U1955113	05/19/2023 08:44:08 AM	"N9771686 N9771686 N9771627 N9772115 N9771113 N9772088 N9407487 N9772168 N9772032 N9772082
 N9772092 N9772038 N9772045 N9772095 N9772047 N9695098 N9772185 N9767481 N9769341
 N9770515 N9746360 N9758825 N9417521"
U2110993	05/21/2023 06:19:08 AM	"N9774142 N9774142 N9774079 N9769531 N9773857 N9774074 N9770028 N9774252 N9767665 N9772453
 N9773887 N9774297 N9774352 N9771996 N9774187 N9773846 N9527795 N9774321 N9773350"
U2558952	05/22/2023 06:07:25 PM	N9776070 N9776070 N9776377 N9527795 N9776259 N9774574
U1248757	05/20/2023 04:58:46 AM	"N9771919 N9771919 N9769504 N9773070 N9773248 N9756785 N9773045 N9772557 N9772710 N9769624
 N9769306 N9770045 N9773102 N9099237 N9672676 N9773228 N9532638 N9773078 N9772355
 N9773137 N9772485 N9773014 N9772601 N9695098 N9772635 N9773018 N9766279 N9770102
 N9772300 N9771248 N9773084 N9746360"
U2129565	05/21/2023 10:27:40 AM	"N9765941 N9765941 N9773350 N9774430 N9769624 N9772545 N9774506 N9773464 N9760091 N9774383
 N9774376 N9773985 N9746360 N9738729 N9774229 N9774517 N9774382 N9772300 N9774352
 N9774392 N9773003 N9768043 N9695098 N9532638 N9773887 N9774363 N9770028"
U2245724	05/19/2023 11:57:02 AM	"N9772433 N9772433 N9772442 N9772366 N9772328 N9771627 N9527795 N9772443 N9761859 N9772389
 N9772279 N9772363 N9746360 N9695098 N9287091 N9772380 N9772517 N9772227 N9772302
 N9772344 N9772407 N9772284 N8918299 N9557348 N9772029"
U2102447	05/25/2023 05:38:43 AM	N9779968 N9779968 N9775885 N9780193 N9569934 N9780181 N9658252 N9780195
U2121124	05/25/2023 05:50:21 AM	N9779577 N9779577 N9780181 N9779263 N9779968 N9780193 N9780195 N9766434
U2121124	05/25/2023 05:51:30 AM	"N9779891 N9779891 N9777397 N9695098 N9778216 N9777156 N9777910 N9779813 N9776967 N9779150
 N9776929 N9778902 N9773768 N9779430 N7184889 N9780020 N9778971 N9779956 N9779996
 N9779417 N9778939 N9758734 N9779873 N9772548"
U2212062	05/25/2023 05:03:43 AM	N9482970 N9482970 N9779867 N8934043 N9777156 N9695098
U2212062	05/25/2023 05:01:21 AM	"N9778971 N9778971 N9779150 N9780019 N9778939 N9482970 N9780039 N9758734 N9776967 N9779860
 N8934043 N9779996 N9779956 N9779777 N9779263 N9780020 N9779648 N9779577 N9779427"
U2269158	05/19/2023 12:54:49 PM	"N9772367 N9772367 N9772380 N9772389 N9772543 N9771627 N9772442 N9772443 N9489015 N9540165
 N9772433 N9219607 N9772344 N9772517 N9772297 N9772407 N9772029 N9465878"
U2288234	05/19/2023 12:29:17 PM	N9772029 N9772029 N9772543 N9772517 N9733858 N9771367
U2314610	05/19/2023 10:24:00 AM	N9772284 N9772284 N9772291 N9772256 N9772366 N9772227 N9772302 N9772050 N9770051
U2314610	05/19/2023 10:26:10 AM	"N9771113 N9771113 N9772219 N9772038 N9746360 N9391394 N9772168 N9772221 N9770515 N9772263
 N9772092 N9769306 N9772256 N9772291 N9771627 N9770051 N9695098 N9772050 N9772178
 N9772302 N9772227 N9772193 N9761859 N9772284 N9767481 N9772366 N9772115 N9769622
 N9553264"
U2436485	05/19/2023 05:22:54 PM	"N9772660 N9772660 N9771919 N9772750 N9772830 N9695098 N9769622 N9772727 N9772448 N9772813
 N9746360 N9772768 N9769624 N9394654 N7213923 N9772241 N9772882 N9772805 N9772858
 N9762122 N9772751 N9772632 N9772575 N9772543 N9772557 N9772099 N9771627 N9772668"
U2455720	05/19/2023 05:38:25 PM	N9772873 N9772873 N9772869 N9772903 N9708367 N9772668 N9772813 N9772925 N9772923
U2455720	05/19/2023 05:35:40 PM	N9731647 N9731647 N9772925 N9726171 N9772813 N9767639 N9769356
U2455720	05/19/2023 05:37:17 PM	N9772873 N9772873 N9772813 N9772668 N9772923 N9772925 N9772903 N9772869
U2455720	05/19/2023 05:40:23 PM	"N9772751 N9772751 N9527795 N9769622 N9772768 N9772099 N7213923 N9772557 N9769306 N9432542
 N9772448 N9767697 N9762122 N9771627 N9771919 N9391394 N9772858 N9772575 N9772727
 N9772632 N9769624 N9772660"
U2455720	05/19/2023 05:39:40 PM	"N9772032 N9772032 N9772099 N9772302 N9440508 N9772115 N9772241 N9772448 N9772768 N9772882
 N9772858 N9772668 N9432542 N9466087 N9772873 N9772813 N9772830 N9557348 N9772750
 N9772660 N9769624 N9772903 N9772869 N9772925 N9772805 N9772557"
U2455720	05/19/2023 05:39:03 PM	N9772830 N9772830 N9772668 N9772869 N9772241 N9772923 N9772873 N9772925
U51752	05/19/2023 10:04:32 PM	N9770102 N9770102 N9773102 N9772635 N9770045 N9773084
U812600	05/21/2023 11:34:54 AM	N9774252 N9774252 N9747633 N9690871 N9774187 N9774321 N9725350
U812600	05/21/2023 11:26:43 AM	"N9770450 N9770450 N9772228 N9774125 N9774163 N9774096 N9774404 N9768242 N9774120 N9725350
 N9774527 N9774568 N9747633 N9754265"
U812600	05/21/2023 11:36:38 AM	N9725350 N9725350 N9690871 N9747633 N9771996 N9773857
U812600	05/21/2023 11:41:21 AM	"N9774517 N9774517 N9690871 N9768043 N9769624 N9725350 N9774376 N9773350 N9747633 N9774020
 N9774382 N9746360 N9774363 N9695098 N9774229 N9774079"
U812600	05/21/2023 11:43:20 AM	N9738729 N9738729 N9773887 N9774079 N9725350 N9747633 N9690871
U812600	05/21/2023 11:38:11 AM	N9774142 N9774142 N9772545 N9765941 N9747633 N9725350 N9774297 N9690871
U812600	05/21/2023 11:40:39 AM	N9747633 N9747633 N9725350 N9774352 N9690871 N9538375
U812600	05/21/2023 11:42:44 AM	N9747633 N9747633 N9774079 N9725350 N9774392 N9690871 N9773887
U812600	05/21/2023 11:29:50 AM	"N9769531 N9769531 N9725350 N9774074 N9773846 N9772453 N9690871 N9774287 N9774079 N9771113
 N9767665 N9747633"
U450577	05/22/2023 08:13:02 PM	"N9776047 N9776047 N9776386 N9776442 N9776449 N9771995 N9775983 N9776489 N9776341 N9769605
 N9776223 N9776438 N9776148 N9776040 N9776394 N9776508 N9743870 N9695098 N9773768
 N9776050 N9775042"
U802605	05/24/2023 09:42:40 PM	N9779860 N9779860 N9758734 N9776967 N9778971 N9779777
U510680	05/22/2023 08:57:56 PM	N9776449 N9776449 N9776434 N9776508 N9776049 N9775763 N9776385 N9776341
U510680	05/22/2023 08:59:17 PM	"N9776040 N9776040 N9774559 N8422665 N9769605 N9776489 N9776148 N9203920 N9771995 N9532638
 N9544875"
U510680	05/22/2023 08:59:40 PM	"N9772957 N9772957 N9774065 N9776050 N9743870 N9773900 N9774403 N9776223 N9776386 N9776040
 N9776489"
U682168	05/21/2023 03:48:57 PM	N9757574 N9757574 N9772957 N7306652 N9738729 N9774923 N9774840 N9508202 N9774598
