N3042022	3439 7022 3439
N8304077	3577
N8315213	8091
N8328780	8120 81 7404 7569
N8355195	777 5998 5772 8202
N8357038	8500
N8384123	8393 1816 6952
N8385746	7527 4715 8324 4870 7329
N8401979	7840 8457 3104
N8419007	5310 7171 5967 5967 4089 7899 5353 1303 622 8205 8202
N8419493	668
N8473206	5227
N8474245	890 890 437
N8484662	2570
N8484664	2670 6827
N8487537	1102
N8508880	6912
N8516215	1915
N8518266	451 5189
N8531366	7585 5310 5287 4040 1266 6964 1756 4767 4879 2328 437
N8535588	7625
N8548718	3110 4464 4618 7499 2435 3751 6940 7932
N8549005	4251
N8558684	502 2127 4429 967 4901 6986 6712 437
N8560103	6909 7499
N8580809	6940 1946
N8586192	8202 557
N8586806	8140
N8586883	1752 108
N8596489	2783
N8598814	1172
N8599012	5651 6050
N8604053	1906
N8604283	3946
N8604319	2363 8271
N8606467	8029 59
N8606622	7499
N8606959	4090 2374 6517
N8607923	6980 5452 4631
N8608340	6755 3104 1155 8434 8434
N8608402	3500 7255 1403 2052 1572
N8608419	8029 2430 2298 874 437
N8608574	5310 7499 4301
N8608598	7499 6036 8202
N8608638	3500 5310 2495 1572 7404
N8608666	2736 5310 6176 4686 2127 5967 2298 4468 7499 6471 1076 4739 1724
N8610375	1752
N8610480	7389 1577
N8611913	7585 2363 2328
N8616013	4868
N8616355	3605
N8617249	1906 5310 4973 7193
N8617481	5199
N8617974	4544
N8619573	7389
N8620132	5708
N8620149	6452
N8621129	3821 3821 1910 2500
N8622154	5310 2163 1103 6036 7836 5768 6928 6728
N8622155	383
N8626198	7499
N8629389	7425 5310 3485 5025 64 7499 4891 8324 2037 2061 3222 1572 1724 6712 8202 4388
N8632085	3500 1369 4972 6577 4592 5310 4828 1397 8316 3765 5993 3836
N8632668	7499
N8632804	78 7625
N8632856	7499
N8632905	2603 2820
N8636001	7499 78
N8636356	4322 1311
N8636818	4833 2869 4583
N8637019	1172
N8637181	1572
N8637252	4274
N8637293	7499
N8637302	7499
N8638186	4794 4040 4583 4879
N8638439	3821
N8638818	7499
N8638864	2632
N8638953	5969
N8638998	4372
N8639020	5973
N8639058	3740
N8639221	7171 3659 7158 7404
N8640358	5310 2447 8202
N8643958	7171 2869 2190
N8645201	5310 3656 4715 7499 4841 2734 46 46
N8645304	3708 1577 7499 2856
N8649014	6644 466 3084 7634 6245
N8651577	2374 405 7499 8324 2061
N8652738	785 3821 3772 7499 2751 78 78
N8657223	677 7232
N8658062	7171 5569 7396
N8658178	4550 7171 6060 4468 2009 3267 5950 5884 2826
N8658642	2736 7024 8191 5310 1682
N8658929	1700
N8658945	2298 7676 7676
N8659165	7127 3114 3349
N8659905	4715 6712
N8660003	1906 4928 4041
N8660880	7425 8324 1954 6713 5945
N8661795	2374 6362 2683 2813 660
N8661946	4222 1906
N8662039	7425 3689 5047 4468 6471 3478 4375 2856 660
N8662329	5310 3656 2734
N8662676	785 3821 3821 6079 5310 3605 6124 7499 1910 3836 6752
N8662869	1906 892 5310 7294 4907 247 3053 1682
N8663279	7188 3557
N8663648	3267
N8663704	5998 7396
N8663985	3605 2751
N8664729	2121 5998 278 8202
N8667786	5310 5337 3718 2127 7302 7499 8324 8249 6932
N8671398	2127 4468 2856
N8671597	3500 3094 5452 263 7499 8411 6722
N8671795	7499
N8676483	383 1033
N8676539	7499
N8676768	5708
N8676840	7527
N8677120	4121 5254 3787
N8678155	4928
N8684673	1495 929
N8685772	3154 3886 372 3860
N8685956	1157 1157 5861 1577 7499 2826 7404
N8686007	785 1906 6611 8316 78 1172 3787
N8692855	6496 3529 5635 1740 3455 4564 6276 6937 8202
N8693284	410 8445 1993 5310 5337 8412 2127 8263 2813 7486 6103 8202
N8693908	7389 5310 3605 106 6541 5960
N8694144	1129 3347 7061
N8695380	6863 7569
N8696647	2632 2181
N8696649	7171 7499 4167
N8696676	7585 1906 5310 334 3659 3698 3104
N8696721	3526 5451 4294 6413 6847 5175 5445
N8696866	2142 3880
N8696927	7129
N8696955	7499 6144
N8697553	5310 4880
N8698168	5296 6496 3526 5310 1740 6762
N8698903	4269 5310 7171 7499
N8700175	7527 3500 5510 785 4592 5310 5386 3094 2430 1637 4053 3717
N8700323	5310 4274 1672
N8701532	2127 967 6058
N8702089	4843 733 3774 7054 2902
N8704066	4281
N8704155	5677
N8705824	1631
N8706086	8140
N8706159	7499
N8706191	1172
N8706257	5579 7499 4891 3648
N8706289	1102
N8707224	7171 6933 7131
N8707247	2176 5310 5337
N8708328	8014
N8708974	7585 5310 3235 8530 3336 7906 7899 6885
N8709745	7389 5310 815 4841
N8709924	7389 2117 4341 5507 4433 6110 3741 6811
N8709981	4071 3305 6712
N8716125	1172
N8716311	2202
N8716403	85
N8716530	2783
N8716811	3605
N8719609	5953 6827
N8719797	5969
N8719822	2370
N8719868	7499
N8719881	3605
N8720024	3740
N8724913	5953
N8725208	6219
N8729763	3493 8056 751
N8729877	6575 2104 8257 8257 4115 3479
N8730271	6888 7171 4841 1162
N8731066	206 2374 1580 2878 1778 2430 4468 6525 5084
N8731248	3308 6971 3948 296 296 1910 6667 6219 5303
N8731723	6980 7171 1142
N8734316	4468 7499 8202 5084
N8736794	5646 2374 4468
N8740918	4593 5756 7820
N8741711	206 4468
N8742109	7499 2884
N8745243	2058 6541 5960 3343
N8745261	3605 7499 1910 6541 2679 5960
N8751268	6459
N8754866	5956 4907 1407 814 3214 3862 8024 4356 437
N8762198	2363
N8762479	3764 4952 224 576
N8762537	3493 8056 751
N8765345	5756
N8765444	8322 1977
N8766388	6124
N8767618	5451 5310 4687 6091
N8771888	7585 5588 3325 2584
N8777069	1577
N8786614	78 7625
N8786808	7499
N8786856	1752 108
N8786910	6452
N8786929	2670
N8786966	8245
N8787097	6980 5310 2869 5189 7836 324 895 6184 1102
N8787407	3532 6496 7171 3455 5988 81
N8787475	6496 5310 3455 6937 8202
N8787586	1752 7396
N8787617	7299 1752
N8787755	4468 5189
N8787902	7389 6512 299 5310 3764 7621 3252 7499 413 3115 2053
N8794463	3770
N8796194	2913 2176 5867
N8796427	6790 6502 1572 8202
N8804523	5199
N8804717	1102
N8804741	7527
N8804757	7499
N8805443	6496 5310 3455 81 6937
N8807560	4350 533 7432 5726 3330 3479 5006 220 3501 6007
N8807598	5018 6638 2574 1841 6958 5768
N8808822	2340 3511 1699 6200 3753 277 2915 3367 7715 1682 6896
N8808863	1229 2127 2298 7499 3104 5768
N8811100	5614 3709 1207 2151
N8811126	785 1572 7530
N8811560	1577 4713
N8812163	6176 2546
N8812411	7389 5674
N8812577	6005 6005 3000 3000 7171 8091 7499 5709 450
N8814540	2176 7491 7491 2163 2163 5884 1161 1161 4583 324
N8816840	785 4592 7499 1910
N8817634	1577 437
N8819432	383
N8819596	7499
N8819723	7499
N8819755	1052
N8819774	4372
N8819946	1752
N8823313	8029
N8823763	6184 3416
N8823845	292
N8823933	6754 674 2971 6596 8202
N8825615	5310 2688 2374 3605 7499 1910 5960 2812 6257
N8826091	5652 7840 4736 892 5337 4720 5574 716 231
N8827155	3051 1400 4183
N8827205	2163 6176 7171 8313 4040 2496 4879
N8828033	5883 62
N8828272	6980 6176 7171
N8828755	6077 2692
N8829025	1577 8332
N8829087	6496 5310 1504 348 6937 2190
N8829293	4820 640
N8831465	4715 6757 7404
N8834353	383
N8834528	5708
N8834607	7499 6031
N8834714	5677
N8834744	7527
N8834766	869 4346 4963 8058 8324 7663
N8834780	7499
N8835222	5310
N8836595	6877 6023 7499 8324 3465 2218 6261 5084 3500 7840 5310 6877 6176 7499 8324 7084 3465 2218 3787 437 8202 5084
N8836903	1371 3000 297 4233 4841
N8840652	7481 677 2632 3727 7042
N8843318	8538
N8843544	7714 5310 5677 7193
N8843931	5310 4622 4622 5112
N8844358	869 6577 7310 4468 4841
N8844642	4880
N8853219	7389 2176 1577 353
N8853651	5969
N8853766	7499
N8853799	4891
N8853843	7171 7530
N8853854	4281
N8853878	2603 2820
N8853929	1172
N8854600	3267
N8854986	8151 8271 4931 5310 5310 6021 8091 3301 110
N8855054	1805 7364 8443 1085 8306 8093 6332 4732
N8859923	5310 3094
N8860119	5310 3605 7499
N8860283	8202
N8861115	2138
N8863460	6960 4419 4928
N8863607	6980 8029 7171 4259 6926 6926 6413 3081 967 7767 7767 5442 5441 2518 7421
N8864249	7474 528 677 2751
N8864746	7527 6396
N8865085	1225 5310 947
N8865921	7389
N8866153	5452
N8868749	6135 1906 5402 1577 4641 6469 2665
N8868818	383 1033
N8869132	1033
N8869207	5708 1764
N8869343	7499
N8869432	7499
N8869464	1102
N8871316	2163 6176 7171 3662
N8871402	7474 785 3821 677 2751 2751
N8871808	1138
N8872615	5770 2339 3521 4379
N8872854	4928
N8873397	5310
N8873639	294 294
N8874596	5310
N8875599	5310 3713 5337 3152 1747 7288 505 5310 3713 5337 3152 1747 7288 505
N8876001	785 3216 8316 3453 7873 5708 6219 437
N8876893	5393
N8878378	3500 5310 2255 7499 1752 6712 5945
N8880929	8311 6928
N8881232	3718
N8881432	3605
N8881485	4274
N8881500	2783
N8881529	5953 6827
N8882216	785 677 2751 1162
N8882254	544
N8882828	7527 6015 5310
N8883702	7171
N8883732	3402 1906 6091 2202 7705 2452 3727 6184 5960
N8884036	8311 6490
N8885999	4555 5310 7489
N8886335	3493 8056
N8886650	5310 8316 3093 8411 7663 3996
N8891138	3747 4296 4499 819
N8891374	5310 4715 2163 2163
N8891794	3428 4762 2374 4681 7663 8485
N8892340	7499 7232
N8892479	5969
N8892494	7499
N8892642	6219
N8892693	3662 3301
N8893594	4715 2352 5783 5147
N8894596	4365 7814 4583
N8894651	4516
N8894771	1930 2603
N8894774	1650 3605
N8895309	7171 1278 7552
N8895343	7214 7214 4694 1640 1640 7115 7115 7663 8485 8485 1389 1389
N8895605	5907 2482 3573 372 4642 7042
N8895952	7389 7389
N8896254	715 5979 6471
N8896371	7389 8315 4848 7757
N8896385	5045
N8896415	2452
N8896667	4222 3396 7844 2794 4726 5310 2163 6176 7171 1222 4311 8112 871 6712
N8897125	8315 8315 694 643
N8897158	1577
N8897179	4468 1724
N8897265	5323 8245 6801 5068 1503 5774 6460 8482 4106 6110 2181
N8897354	7389 4013 2305 3740 4824 1906 2688 7171 7429 8316 1778 8091 7499 219 6682
N8897368	6496 5310 3455
N8897425	5310 5971 2869 81 8416
N8897440	4071 5265
N8897500	5310 270 767 7969
N8897525	5098 7396
N8897568	4071 2021 8364
N8897646	5617 4715 2835 2079
N8897714	4583 81 7396
N8897740	1577
N8897897	8311 7396
N8897909	2592 5979 7425 2127 4675 2298 4468 6713
N8897910	7396
N8897970	1577
N8897998	908 780 1107 3899 2642 2801 3633 4687 7914 3698 192
N8898003	6940
N8898012	3807 7046 3401 6759 4846 8249
N8898029	5310 4722
N8898212	7491 8400 6472
N8898499	4592 4719 2701 3022
N8898673	1229 2163 6176 4963 7210
N8898811	2720 1572
N8899005	2783 6980 2869 7836
N8899102	4243 4694 1577 8324
N8899217	7501 2495 6759 3890 6689 6295 6376 7793
N8899248	4715 3202 1599 711
N8899249	1225
N8899286	6980 387 7899 7806 2869 3114
N8899539	8526 4559 8507 1840 1840 544 1647 4841 3197 2786 8202
N8899543	3899 640
N8899631	1724 6712 437 6932 8202 2675 6870
N8899641	5310 2856
N8899705	2720 7054
N8899917	4272 635 1739 2933
N8899965	4222 6457 2374 2826 2734 5580
N8899980	5310 4686 767 3068
N8900033	5310 3656 767 3223
N8900151	1660 6176 1264 4468 7505 3736 6471 6234 2516 1865 2826 2072 4639 5580
N8900193	1467 1993 4154 2813 471 1072 4378
N8900353	1906 5310 6176 2773 1752 6712 1888 7396
N8900548	3094
N8900687	5310
N8900832	1960
N8900847	4499
N8900872	3026 8168 1328
N8900898	7232
N8901381	8411 5768
N8901408	2127 4154 2099 1072
N8901486	3718 2298 6933
N8901517	5310 3886 3462 2447 2190
N8901601	1225 5310 6517 5337 6176 2127 4468 3104 2856 5768 437 5945
N8901605	2374 2190
N8901616	3202 1599
N8901633	5310 5926 8219 6091 7232
N8901683	8312 677
N8901774	4715 3202 1599
N8902040	6886 674 3617 8332
N8902081	4222 7632 5310
N8902128	5197 7144 6941 3093 3923
N8902172	3102 3149 3479 4165 557 6099
N8902222	5250 1577 7746
N8902296	7214 4888
N8902310	5310 6853 2190
N8902322	5979 3656 2826 3068 2053
N8902414	1225 7171
N8902553	5310 2127 6414 6712 4642
N8902621	3772 3683 3981 1911 1911
N8902624	5310 1300 2827 1274 767 2053
N8902651	767
N8902710	7499 7396
N8902752	1906 7499
N8902811	7389 5310 2127 437
N8902849	4852 5310 6517 767 2826 3068
N8902864	767 2826 3068 2053
N8902875	6457 6457 6234 767 4049
N8902952	7425 7425 5310 8324 767 7396
N8903000	8108 1225 4852 1579 5310 5337 2127 4468 767 2826 7286 4841 2856
N8903010	5310 2163 3886 81 2190
N8903014	7705 5243 2452
N8903024	5310 3886 2190
N8903062	5310 6549 2430 767 2826 3115 3068
N8903084	3094 7653 7653
N8903132	5588 8091 1381
N8903211	4742 3504 1778 7499
N8903312	5330 3361 7491 8117 6490 5189 6291 3434 6618 2190
N8903341	1577 4468
N8903350	2489 5451 5310 2374 6451 6451 372 437
N8903433	4253 2127 3093 3479 7758
N8903471	5979 5979 5310 767 2826 3068
N8903490	5310 5337 767 3068 5945
N8903497	168 3886 6853 2190
N8903521	5951
N8903566	2482 5697
N8903567	753 1224 3093 7565
N8903807	2190
N8903853	688 2466 2466 6206
N8903868	3593 7840 6008 5337 6886 8324 2437 6712
N8903893	7077 7077 7663 8485 4290 7503 8114
N8903992	4222 5310 81
N8903994	5310 2163 6712
N8904039	640
N8904098	1376 7381 5089 7286
N8904156	5518 3656 3337 767 3068 4240
N8904206	437
N8904220	1015 4761 7499
N8904225	5310 3656 7171 2827 2826 2053
N8904288	2632 2181
N8904305	2372 1906 6471 4375 1682
N8904313	8321
N8904436	5953
N8904468	5973
N8904523	8245
N8904546	7499
N8904569	5310 3656 5113 4715 3764 5189 5768
N8904603	7761 7499
N8904615	2632
N8904627	2370
N8904641	1752 108
N8904651	3605
N8904663	5310 2163 6176
N8904672	85
N8904720	2495 7499 767 2826 3068
N8904793	5310 7171 150 6211
N8905127	1577
N8905194	785
N8905501	7389 5354 7474 8315 8315 7499 643 643
N8905508	7118 1015 1950 1066
N8905521	5310 6176 3104
N8905565	785 677 7499 2751 78 6623
N8905726	4013 3656 8203 3104 4170
N8905806	1954 6450
N8905826	8202
N8905893	4550 8093 1752 7042
N8906205	8442
N8906771	1381
N8906822	5310 3656 4387 2826 3068 4232 5945
N8906920	5310 8403 4183 3068
N8907011	5310 2826 3068
N8907524	5310 2053
N8907562	8526 7840 7405 5310 5978 2298 6725 4833 7087 3104 3068 5442 760 2734 8202
N8907606	3807 1878 7808 4814
N8907837	5310 2827 3698 767 2826 3068 81 1724 2053
N8907869	3656 6517 4715 7171 2826 2053 7404
N8907875	3656 437 2734
N8907933	5279 1906 5310 3692 7861 5839 6361 1093
N8907941	1225 767 660
N8908005	1381
N8908014	2621 8464 5310 3656 3856 2827 7499 767 2826 3068 6933
N8908065	367
N8908078	3656 3068 81
N8908081	4550 5310 3656 6351 4686 6951 4841
N8908122	7499 6933
N8908363	5310 8314 2371 3659 6013 7255 3104
N8908401	4341 5924
N8908703	5404 8202
N8908795	7451 8324 372 7663 4642
N8908843	2936 1383 7329
N8908899	6459
N8908900	767 2826
N8908913	3613 3193 5848 2215
N8908927	6912 7171
N8909049	8245 1503 4106 5149 5149
N8909101	5310 2163 5320
N8909161	3807 5310
N8909338	3807 2061
N8909397	695
N8909425	3852 4916 5847 6592 1325 7396 4170
N8910377	4071 1788 3252 372 4642
N8910904	5547 3496 4916 3104 6546
N8911011	1459 7585
N8911060	2722 4916
N8911118	8311 7499 81 7836 7396
N8911354	5310 3656 2430 767 2826
N8911422	4916 8037 3104
N8911748	5950 7499
N8911843	5323 582 2091 6743 4106 5149
N8911871	6971 2374 4916 3104
N8911996	3529 7663 7879
N8912038	5201 5310 2575 6127 7499 3662 7663 1572 8485 3727 6295 7042 1649
N8912052	5337 4686 2827 2826 2826 6933 5768
N8912100	1366 8332
N8912152	5310
N8912177	1577 4916 2452 7806 3104
N8912194	2018
N8912195	2631 5323 6801 5154 7171 6702 5768
N8912226	4916 3104 5847 1325 7998 7998
N8912453	4269 5310 4916 694 3104 1155 4170
N8912537	2127 3388 7499 3662 7663 1572 3727 7042
N8912725	5310
N8912793	5909
N8912810	3807
N8912872	7389 5310 2374
N8912947	3850 5310 3008
N8912960	1577 4820 7396 6682
N8913041	6517
N8913056	715 1993 1741
N8913086	4916 1445 6546 6592
N8913163	8053 3718 2430 2430 5884 5189
N8913267	6277 8091 4112 4820
N8913411	7840 1416 4071 1204 6614 1577 372 1886 3451 492 4018
N8913416	1577 4578
N8913430	3496 1502 3104
N8913475	7171 362 7396
N8913520	5299 7792 7792
N8913586	3807 3807 6872 4681 1542
N8913606	5310 372 4642
N8913643	4715 7499 2447 6073
N8913679	5310 5337 6176 2827 767 1270 3068 2053
N8913730	3656 3856 5978 3789 3104 5768 2514
N8913763	4233
N8913775	1445 6546
N8913837	7389
N8913841	5310 3656 5551 6176 4686 2826 6202 3068
N8913948	7389 1906 1752
N8914083	5310 7171 2282 8154 1752 3639 1123 7842 2328 6823 977 4690 5694 7793
N8914200	4916 694
N8914228	7042
N8914273	7193
N8914282	4715 3689 6471 6713
N8914351	7389 5310 1029
N8914360	4916 3104
N8914366	2992 2143 2143
N8914405	4375 6713 7396
N8914409	7389 6725 4833 7087
N8914431	7499 363 437
N8914433	3529 4550 7454 4326 2514 2734
N8914445	5310 7583 2748 2430 6124 1066 2632 4973 4680 4274 1752 3860
N8914447	4720 1075 8324 137 1446 6712
N8914473	7840 7501 6577 250 4833 7087 4868 6812 8202 7216
N8914535	7527 3894 1524
N8914600	4262
N8914740	6638 3605 7499 5904 1672 5768
N8914912	7765 8019 7946 6096 5810 6245
N8915063	4665 2163 5927
N8915254	7917 5310 6364 4715 4687 3267 10
N8915296	1469 5815
N8915301	4715 6741 372
N8915334	2255 7499
N8915348	6912 4718 7499 1752 7569
N8915356	6184 437
N8915376	1072
N8915404	6801 6602
N8915439	2163 6078 1872
N8915441	6159 728 6682
N8915448	7704 5930 6245
N8915449	999 7389 1225 4550 3764 2426 4414 2952 3462 7633 5508 7653 7653 6682
N8915464	7585 4715 6741 8324 372 2328 4642
N8915504	4820 7653
N8915537	4838 6724 7314 924 3084
N8915717	1577 1954
N8915754	7234 7653
N8915805	273 3386 5184 8202
N8915829	2952 2826 5794
N8915941	6785 7438 7438
N8916067	8226
N8916115	4071 4826 2279 6245 7396 557
N8916251	4717 3865 6162 6261
N8916320	2763 5310 6183 8089 7617 7613 1241
N8916323	6577 3656 6176 4686 7715 3068 2734 8202
N8916327	3899 7521 5310
N8916402	6471 5667 6950 3118 2673
N8916504	4976 640
N8916512	5201 1906 3093 4868 6317 3068
N8916760	2003 1993 7390 2127 3272 2447 1724 7653
N8916994	4222 1906 4715
N8918118	2631 1746 2574 2464 5768 1972
N8918157	2489 5310 6741 372 4642
N8918161	1577
N8918220	4715 7396
N8918299	4360 576
N8918365	2489 7791 5658 62 8202 546
N8918497	4606 2740 7323
N8918513	5310 6741 1577 7934
N8918667	4317 6940
N8918670	999 4013 2298 5709 1524
N8918729	2003 8526 4686 2826 6933 2734
N8918801	5265 4624 81 7396
N8918882	7521 7171 6827 4684 3133
N8918921	7527 7389 5005 1524 7653
N8918931	999 4013 1906 3764 3894 2826 7653 7653
N8919090	5310
N8919111	999 1524 1524
N8919122	5221 5310 8144 1129 4928 7329
N8919219	5550 5337 1497 7087 1752 372
N8919261	6015 8432 5069
N8919523	5630 5630 1930 5967
N8919562	7024 7499 1259 5404 7460
N8919704	3333
N8919760	2289 3094 6176 1300 7454 4326 7042
N8919777	4550 1300 2053 7042
N8919778	6741 1577 372 4642
N8919796	5310 3133
N8919841	7389 1486 5369 3886 7499 6951 3104 7286 4841 1724 2856 5768 5639
N8919860	6008 6988 5316
N8919870	90 2926 3491 1577 6191
N8919872	6741 1577 372 4642
N8919974	3034 1906 3605 6853
N8920002	3529 2127 4437 7663 1724 3440 240
N8920006	6552
N8920110	1225 6577 5310 2127 4468 372 967 8485 4841 1724 6712 4642 437 3440
N8920114	4103
N8920165	7585 2578 1577
N8920222	7389 7499
N8920281	5460 4715 1577
N8920305	3193 2215
N8920343	715 3656 7637 3856 3856
N8920533	3656 3094 7286 5905
N8921127	8029 3822 6886
N8921217	7464 6517 7410 4617 7959
N8921517	1577 5655 1717 640
N8921573	8526 6577 750 6176 5948 5103 2856 7193 2492 8202
N8921605	2374 1330 6552 6552 3229 8301 8202 5471
N8921728	5497 2165 3479
N8921938	2338 1137 7591
N8922137	5310 7327 372 640
N8922204	1163
N8922242	4071 148 8029 7492 3822 346 400 7461 7232 5217 3441 3619 7477 4170
N8922306	7171 7852
N8922564	8158
N8922617	982
N8922644	2630 1577 4597
N8922669	1974 2801 5245 6552 6552 6552 1927 5920 8301 3203 6812 8202
N8922684	582 6801 8482
N8922722	4618 7924 1752 372
N8922723	451 5310 372 6712
N8922741	6015 5310 7454 6682
N8923012	3102 7485
N8923101	3121 7485 2860
N8923111	5310 3985 1121 3133 3133
N8923123	6471
N8923134	7396
N8923153	2631 7224 5960 1651
N8923207	5310 7499
N8923234	5310 3102 6176 1123
N8923256	7499 6197 8454 8454 316 5269
N8923264	7485 7396
N8923268	6941 4547 8202
N8923350	5310 3485 3886 5189
N8923536	1577 3252 1381
N8923645	3102 7539 7485 7396 557
N8923677	7984 6712
N8923716	6575 6741 6741 2578 8533 7934 7934
N8923738	3102 7345 7485
N8923830	6741
N8923851	1820
N8923940	3596
N8923942	3396 3367 5442 7485
N8923956	3810 8521 8202 3514
N8923980	7485 7396
N8924028	7917 2736 2939
N8924078	1371 1577 8332 7746
N8924093	4934 1616 6219 2768
N8924124	3396 7485 7485
N8924321	1163
N8924392	5956 1461 437
N8924471	3102 7485
N8924581	3193 3094 1577 1176
N8924747	4013 4550 3764 1300
N8924757	6757 1577 7231
N8925394	4899 6940
N8927692	78 7625
N8927842	4274
N8927963	5310 6176 3272 3272 3272 1277 6452 1752 7653
N8928060	152
N8928422	2385
N8928611	1474
N8928765	609 4753
N8929153	3500 4691 8316 3233 2720 1198 437
N8930798	5310 7171 7087 8120 81 7396 7569
N8935013	5352 7915 6159 1752 1031 2447
N8938775	2385
N8939323	5310 1015 1752 4164
N8940448	2374 8016
N8944518	4715 1577 3325 1198 5416
N8945329	785 1906 5310 6812 7793
N8945380	2722 3104 6940 5584 8202
N8946490	2670
N8946607	7499
N8946733	1102
N8946768	7389 5674
N8946833	7499
N8946880	4372
N8947416	870
N8949372	5310 1264 4468 6234 1865 4639 5580 5310 6234
N8949747	6525 1531
N8950190	7499 2452
N8952268	667 4426 530 2881 3565
N8952833	7402 5358 6877 4742 1778 1950 727 7499 938 7402 5358 6877 4742 8144 1950 727 938
N8953912	5030 7680 7499
N8954909	1553 7187 1115
N8954962	1572
N8955737	4394 1415 3821 5310 8316 7499 3736 1198 78 4583 2856 4394 1415 3821 5310 7499 3736 1198 78 4583 2856
N8956198	1577 242
N8956568	5310 1577 7499 7663 546
N8956862	8116
N8957062	4027 6043 3419 1850 6553
N8963856	5310 7499 7663
N8966280	5708
N8966377	3605
N8966406	7499 6031
N8966522	7499
N8966598	5310 1474 7171 7121 7396
N8966988	2363 3053
N8971046	1252 8083 1577
N8975944	4691 2581 5310 7499 6940
N8976869	7171 6211 3727
N8976937	7389 4592 7499
N8977304	4715 4583
